workload,selected_mode,pbmo_mode,n_selected,n_pbmo,wall_statistic,selected_wall_s,pbmo_wall_s,delta_pbmo_minus_selected_wall_s,cpu_statistic,selected_client_cpu_s,pbmo_client_cpu_s,delta_pbmo_minus_selected_cpu_s,memory_statistic,selected_peak_pss_mib,pbmo_peak_pss_mib,delta_pbmo_minus_selected_pss_mib,selected_vmhwm_mib,pbmo_vmhwm_mib,delta_pbmo_minus_selected_vmhwm_mib,selected_are_request_bytes_median,selected_are_response_bytes_median,pbmo_are_request_bytes_median,pbmo_are_response_bytes_median,pbmo_upload_bytes_median,pbmo_provisioning_wall_s_median,pbmo_provisioning_peak_pss_mib_max,pbmo_token_requirement,formal_data_path,formal_data_sha256,pbmo_provisioning_data_path,pbmo_provisioning_data_sha256,pbmo_transport_data_paths,pbmo_transport_data_sha256
H1,M2/Memory-remote/Selected,M4/Full-remote/PBMO-enabled,5,5,median,102.710431002,102.475289544,-0.235141458,median process user+system CPU,65.480137330,63.775621197,-1.704516133,maximum across measured runs,203.369140625,198.728515625,-4.640625000,210.765625000,210.972656250,0.207031250,136972,126736,136972,126736,8831496,3.837705311,84.281250000,preprovisioned token required; one load/run; online generation zero,experiments/android_phase5f_c/honest_runs.json,6410a84495cdaab4e163c1dc6a54f5552faae39db8cec71d367d0afc21114dc2,experiments/pbmo_preprocessing/pbmo_preprocessing_summary.json,67d339d6ba4f340ce286477e05be8e0dd570bd0e33ab548cb11b30c6928f4d40,experiments/android_phase5f_c/results/runs/phase5fc_formal_H1_M4_r1/pbmo_transport.json;experiments/android_phase5f_c/results/runs/phase5fc_formal_H1_M4_r2/pbmo_transport.json;experiments/android_phase5f_c/results/runs/phase5fc_formal_H1_M4_r3/pbmo_transport.json;experiments/android_phase5f_c/results/runs/phase5fc_formal_H1_M4_r4/pbmo_transport.json;experiments/android_phase5f_c/results/runs/phase5fc_formal_H1_M4_r5/pbmo_transport.json,3cd0dbd230978a1f0767a47608f65308b6b0c67a68564113105c33f655f8dcfa;2eec67fd336b891bf32fbf13ac55a758c7a113b8ba83ebf6abab27aaea150156;d85ee698cc13695ac8c477e6143643b67c5536d67c72616f634fb16cda902c3c;89f82fd803007144f9ff42078e33780548dba06d573c754cef3a210010f001c6;f71902b9da0f7c33e4f889e1f2a56f0e0c212e896d1e5721fea5d618449e6bd0
H2,M2/Memory-remote/Selected,M4/Full-remote/PBMO-enabled,5,5,median,101.866143815,101.252543451,-0.613600364,median process user+system CPU,64.394170279,62.961266145,-1.432904134,maximum across measured runs,199.711914062,198.165039062,-1.546875000,205.601562500,205.558593750,-0.042968750,130828,126736,130828,126736,8831495,3.822890675,79.437500000,preprovisioned token required; one load/run; online generation zero,experiments/android_phase5f_c/honest_runs.json,6410a84495cdaab4e163c1dc6a54f5552faae39db8cec71d367d0afc21114dc2,experiments/pbmo_preprocessing/pbmo_preprocessing_summary.json,67d339d6ba4f340ce286477e05be8e0dd570bd0e33ab548cb11b30c6928f4d40,experiments/android_phase5f_c/results/runs/phase5fc_formal_H2_M4_r1/pbmo_transport.json;experiments/android_phase5f_c/results/runs/phase5fc_formal_H2_M4_r2/pbmo_transport.json;experiments/android_phase5f_c/results/runs/phase5fc_formal_H2_M4_r3/pbmo_transport.json;experiments/android_phase5f_c/results/runs/phase5fc_formal_H2_M4_r4/pbmo_transport.json;experiments/android_phase5f_c/results/runs/phase5fc_formal_H2_M4_r5/pbmo_transport.json,ccd62def4afd7243ad53e07420510f1cf9ac9e356d2712d63c909b7054b41676;dcff146f39b5a4dfb4588f77a72ee1c9f90e0f889c1bd462d883636881aebd98;27a16b2a3dc53db3c54f01a792ed4fde4fdd1f84f31a8a3370f9e6ce8ec3d167;525b5612abcc8cba7ecc76504d08e568401823edf7a6e2b241dc3edd7abbb630;b6a4079e7c10feaf95975e6b11e25fdc3a99da25acc8f499b762272ad4cbdece
